slno,url,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,p13
84,http://www.nccs.res.in/,1417.0,0.0776287932251235,0.18560338743824983,0,101,54,3650.5634765625,93.16273680994773,34,5,16,48.1836649421157,0
85,https://www.vigyanspace.in/,703.0,0.17069701280227595,0.1678520625889047,1,7,85,1704.111328125,83.73717056062716,36,9,30,62.5604088973324,0
86,https://techsandesh.com/,1419.0,1.3713883016208597,0.1346018322762509,0,18,74,1046.87109375,60.578584248448685,101,13,121,57.481982065262855,0
87,http://www.cstep.in/,253.0,0.11462450592885376,0.47035573122529645,0,1,57,5423.025390625,97.07821359228896,25,11,0,41.665623149045345,0
88,https://www.thetech.org/,1193.0,0.030176026823134954,0.06957250628667226,0,12,35,6105.625,97.78898812570375,45,6,48,22.864385225976275,0
89,https://www.scienceeurope.org/,83.0,0.060240963855421686,0.26506024096385544,0,4,0,2.357421875,0.0,1,2,0,4.665803421540859,0
90,https://www.worldsciencefestival.com/,83.0,0.060240963855421686,0.26506024096385544,0,4,0,2.3642578125,0.0,1,2,0,4.665803421540859,0
91,https://www.theplayerstribune.com/global,84.0,0.05952380952380952,0.2619047619047619,0,4,0,2.3671875,0.0,1,2,0,4.665803421540859,0
92,https://www.bleacherreport.com/,83.0,0.060240963855421686,0.26506024096385544,0,4,0,2.3583984375,0.0,1,2,0,4.665803421540859,0
93,https://yas.nic.in/,83.0,0.060240963855421686,0.26506024096385544,0,4,0,2.3466796875,0.0,1,2,0,4.665803421540859,0
94,http://sportsauthorityofindia.nic.in/,83.0,0.060240963855421686,0.26506024096385544,0,4,0,2.3642578125,0.0,1,2,0,4.665803421540859,0
95,https://naidunia.jagran.com/sports,84.0,0.05952380952380952,0.2619047619047619,0,4,0,2.361328125,0.0,1,2,0,4.665803421540859,0
96,https://sportshindi.com/,82.0,0.06097560975609756,0.2682926829268293,0,4,0,2.3515625,0.0,1,2,0,4.665803421540859,0
97,https://www.goal.com,83.0,0.060240963855421686,0.26506024096385544,0,4,0,2.3486328125,0.0,1,2,0,4.665803421540859,0
98,http://www.espn.in/,83.0,0.060240963855421686,0.26506024096385544,0,4,0,2.3466796875,0.0,1,2,0,4.665803421540859,0
99,https://www.skysports.com,83.0,0.060240963855421686,0.26506024096385544,0,4,0,2.353515625,0.0,1,2,0,4.665803421540859,0
100,https://www.uefa.com,83.0,0.060240963855421686,0.26506024096385544,0,4,0,2.3486328125,0.0,1,2,0,4.665803421540859,0
